clubname,permalink,notes
自治会執行委員会,hatoyama-jichikai,
放送委員会KATE,hatoyama-kate,
鳩山祭実行委員会,hatoyama-hatosai,
非電源ゲーム部,hatoyama-hidengen,
管弦楽部,hatoyama-kangen,
棋道部,hatoyama-kido,
軽登山部,hatoyama-ktozan,
コンピュータクラブ部,hatoyama-computer,
自動車部,hatoyama-car,
漫画研究部,hatoyama-manken,
JAZZ研究会部,hatoyama-jazz,
鉄道研究部,hatoyama-tetudo,
天文部,hatoyama-tenmon,
フォークソング部,hatoyama-folksong,
写真部,hatoyama-photo,
演劇部,hatoyama-engeki,
曲つくりサークル部,hatoyama-composition,
アニメ・声優研究部,hatoyama-aniken,
アーチェリー部,hatoyama-archery,
蹴球部,hatoyama-soccer,
卓球部,hatoyama-takkyu,
硬式庭球部,hatoyama-ktennis,
軟式野球部,hatoyama-base,
バスケットボール部,hatoyama-basket,
バドミントン部,hatoyama-badminton,
モータースポーツ部,hatoyama-motor,
陸上競技部,hatoyama-rikujo,
剣道部,hatoyama-kendo,
ヒューマノイド研究部,hatoyama-humanoid,
